model,delta,expected_mean,pred_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,sign_accuracy_on_nonzero_true,causal_gain_scaled,num_windows,num_batches,num_test_windows,pred_abs_mean
PatchTST,0.25,0.25001922200551013,0.0,0.0,0.25001922249794006,0.25001922175898805,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
PatchTST,0.5,0.5000384440110203,0.0,0.0,0.5000384449958801,0.5000384435179761,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
PatchTST,1.0,1.0000768880220405,0.0,0.0,1.0000768899917603,1.0000768870359522,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
Crossformer,-1.0,-1.0000768880220405,-1.969315781025216e-05,1.9691643758712826e-05,1.0000571981072426,1.000057198334063,1.969164441106841e-05,nan,0.4619140625,1.0000768880220405,1024,32,1905,6.864812894491479e-05
Crossformer,-0.5,-0.5000384440110203,-1.5041150618344545e-05,3.0079988445874485e-05,0.5000233976170421,0.5000234026572932,3.0079991120146587e-05,nan,0.5361328125,1.0000768880220405,1024,32,1905,3.4417491406202316e-05
Crossformer,-0.25,-0.25001922200551013,-8.861854439601302e-06,3.544469248610812e-05,0.25001035910099745,0.2500103595848474,3.544470018823631e-05,nan,0.578125,1.0000768880220405,1024,32,1905,1.7490849131718278e-05
Crossformer,-0.1,-0.10000768880220406,-3.870780346915126e-06,3.870482753151894e-05,0.10000381921418011,0.10000382043341163,3.870482396450825e-05,nan,0.58984375,1.0000768880220405,1024,32,1905,7.1048561949282885e-06
Crossformer,0.1,0.10000768880220406,4.328932845965028e-06,4.328600028470634e-05,0.10000336146913469,0.10000336162800032,4.328599607106298e-05,nan,0.6123046875,1.0000768880220405,1024,32,1905,7.242982974275947e-06
Crossformer,0.25,0.25001922200551013,1.1632480891421437e-05,4.652634624695005e-05,0.2500075874850154,0.25000758993093836,4.652635470847599e-05,nan,0.638671875,1.0000768880220405,1024,32,1905,1.8417980754747987e-05
Crossformer,0.5,0.5000384440110203,2.6053770852740854e-05,5.210353556769059e-05,0.5000123986974359,0.5000123910933161,5.2103543566772714e-05,nan,0.671875,1.0000768880220405,1024,32,1905,3.810514317592606e-05
Crossformer,1.0,1.0000768880220405,6.330332689685747e-05,6.329846000346959e-05,1.0000135954469442,1.0000135823161886,6.32984665571712e-05,nan,0.7197265625,1.0000768880220405,1024,32,1905,8.235050336224958e-05
TimeMixer,-1.0,-1.0000768880220405,0.0,-0.0,1.0000768899917603,1.0000768870359522,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,-0.5,-0.5000384440110203,0.0,-0.0,0.5000384449958801,0.5000384435179761,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,-0.25,-0.25001922200551013,0.0,-0.0,0.25001922249794006,0.25001922175898805,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,-0.1,-0.10000768880220406,0.0,-0.0,0.10000769048929214,0.10000769131109791,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,0.1,0.10000768880220406,0.0,0.0,0.10000769048929214,0.10000769131109791,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,0.25,0.25001922200551013,0.0,0.0,0.25001922249794006,0.25001922175898805,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,0.5,0.5000384440110203,0.0,0.0,0.5000384449958801,0.5000384435179761,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
TimeMixer,1.0,1.0000768880220405,0.0,0.0,1.0000768899917603,1.0000768870359522,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
