model,intervention,target_mae,target_mse,all_mae,all_mse,mpd_target_mean,mpd_target_std,rmsd_target,mpd_all_mean,rmsd_all,input_mpd_mean,normalized_target_sensitivity,csr_cause_shift_over_distractor_shift,target_zero_over_cause_shift,num_batches,num_test_windows,num_target_points
iTransformer,target_zero,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.8406438018184739,0.49582561016351884,0.9759738916742822,0.05186441309704451,0.21447094944043466,0.04069754494799478,20.655884841998006,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,target_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,5.000000256315617,0.0007159826588243979,5.0000003075787305,0.23809589922678936,1.0910895182991436,0.23809523809523808,21.000001076437393,0.37383949039782327,385685.6859557705,30,1905,182880
Crossformer,cause_shift_plus_delta,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.0035507379658683185,0.0031260055874501405,0.004730713586239203,0.09307371048223465,0.4667479523955373,0.23809523809523808,0.014913099456584302,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,cause_zero,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.001705789675549885,0.0014690723131337432,0.0022511978763379973,0.04272232821686677,0.21895626646579602,0.040683636520125736,0.041928151498062914,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,cause_flip,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.003287746519345728,0.0025463858975159266,0.004158528383279107,0.08481073781996326,0.43358016187056886,0.08136727304025147,0.040406251757741846,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,cause_flip_x5,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.005273896846871363,0.004182761297758345,0.006731231687103392,0.07307833914050946,0.3756763128976129,0.24410181403512712,0.021605316075573387,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,distractors_shift_plus_delta,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.034936032916825795,0.027814835665746353,0.04465637109168199,1.6627605875437446,2.0604331576826134,4.523809523809524,0.0077227020131913635,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,noncause_1to7_shift_plus_delta,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.015556413128202877,0.012480754465612934,0.01994420270269634,0.6889681392365017,1.3319587776781427,1.6666666666666667,0.009333847876916126,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,target_zero,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,0.8783384548397515,0.4986978107037071,1.010038587208901,0.04279158975672474,0.2204125167372507,0.04069754494799478,21.58209926275777,0.10163540818215186,247.3678607195081,30,1905,182880
Crossformer,target_shift_plus_delta,0.09935828531820944,0.015730046308155343,0.3610112629557373,0.7837698306917364,1.9902123799161335,0.9893492330558789,2.222556460952049,0.09802283447682647,0.48502124283133746,0.23809523809523808,8.358891995612654,0.10163540818215186,247.3678607195081,30,1905,182880
TimeMixer,cause_shift_plus_delta,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.0,0.0,0.0,0.23809523809523808,1.091089458637649,0.23809523809523808,0.0,0.0,857566416983.2164,30,1905,182880
TimeMixer,cause_zero,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.0,0.0,0.0,0.04093466556375684,0.21859052750641245,0.040683636520125736,0.0,0.0,857566416983.2164,30,1905,182880
TimeMixer,cause_flip,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.0,0.0,0.0,0.08184944924893828,0.4370139334299631,0.08136727304025147,0.0,0.0,857566416983.2164,30,1905,182880
TimeMixer,cause_flip_x5,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.0,0.0,0.0,0.24555321443787625,1.3111208406213637,0.24410181403512712,0.0,0.0,857566416983.2164,30,1905,182880
TimeMixer,distractors_shift_plus_delta,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.0,0.0,0.0,4.523809523809524,4.7559486560567095,4.523809523809524,0.0,0.0,857566416983.2164,30,1905,182880
TimeMixer,noncause_1to7_shift_plus_delta,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.0,0.0,0.0,1.6666666666666667,2.886751345948129,1.6666666666666667,0.0,0.0,857566416983.2164,30,1905,182880
TimeMixer,target_zero,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,0.8575664169832165,0.5128568296227541,0.9992208400689682,0.04083649560182744,0.21804786389122927,0.04069754494799478,21.071698994570387,0.0,857566416983.2164,30,1905,182880
TimeMixer,target_shift_plus_delta,0.083087165044883,0.010937912570522838,0.12905108764887463,0.03927069839892654,5.0,0.0007452184266117896,5.00000005553505,0.23809523809523808,1.0910894632987034,0.23809523809523808,20.9999999999118,0.0,857566416983.2164,30,1905,182880
