model,intervention,target_mae,target_mse,all_mae,all_mse,mpd_target_mean,mpd_target_std,rmsd_target,mpd_all_mean,rmsd_all,input_mpd_mean,normalized_target_sensitivity,csr_cause_shift_over_distractor_shift,target_zero_over_cause_shift,num_batches,num_test_windows,num_target_points
iTransformer_CRR_FT01,distractors_shift_plus_delta,0.2552799942403745,0.1054304772057454,0.3802947981518586,0.2866198223431706,8.989455017863348e-06,1.6771681063542855e-05,1.9028914504390168e-05,4.523810427016936,4.755948792929567,4.523809523809524,1.9871426881588274e-06,0.3627602732089465,257205.39427661567,30,1905,182880
iTransformer_CRR_FT01,noncause_1to7_shift_plus_delta,0.2552799942403745,0.1054304772057454,0.3802947981518586,0.2866198223431706,5.233447452027706e-06,1.250324893144124e-05,1.3554342701685012e-05,1.666669189137816,2.8867515122538294,1.6666666666666667,3.1400684712147393e-06,0.3627602732089465,257205.39427661567,30,1905,182880
iTransformer_CRR_FT01,target_zero,0.2552799942403745,0.1054304772057454,0.3802947981518586,0.2866198223431706,0.8387515544474177,0.4914094548247195,0.9721046355095152,0.05436964676697314,0.21458024982127358,0.04069754494799478,20.60938947296708,0.3627602732089465,257205.39427661567,30,1905,182880
iTransformer_CRR_FT01,target_shift_plus_delta,0.2552799942403745,0.1054304772057454,0.3802947981518586,0.2866198223431706,5.00000020291653,0.0007307467608166835,5.0000002563156105,0.23809602535034682,1.0910895089770352,0.23809523809523808,21.000000852161225,0.3627602732089465,257205.39427661567,30,1905,182880
iTransformer_CRR_FT03,cause_last_shift_plus_delta,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,0.5681722859593723,0.5068759194709883,0.7614085265295225,0.13032131461269164,0.41116445113246736,0.00248015873015873,229.08706560645103,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,cause_shift_plus_delta,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,3.2507102836285207e-06,1.000141684957003e-05,1.0516437436078414e-05,0.23809606349255172,1.0910895015193487,0.23809523809523808,1.3652983191182444e-05,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,cause_zero,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,0.07298772516525949,0.07044200152697071,0.10143610601716331,0.0517446592877876,0.2006903060174198,0.040683636520125736,1.7940314929163044,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,cause_flip,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,0.07329041538588957,0.0714522619400716,0.10235678152320365,0.10257498813421434,0.39537634305033853,0.08136727304025147,0.9007357951978172,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,cause_flip_x5,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,0.07329033178294425,0.07145223544683349,0.10235670316693371,0.25365812682024774,1.18238936259422,0.24410181403512712,0.30024492883161147,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,distractors_shift_plus_delta,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,8.342332310146755e-06,1.5592335333362446e-05,1.7683761746894847e-05,4.52381037005791,4.755948792929567,4.523809523809524,1.844094510663612e-06,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,noncause_1to7_shift_plus_delta,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,4.750165733087511e-06,1.177033464626182e-05,1.2692708622543504e-05,1.6666690223292402,2.8867514699727197,1.6666666666666667,2.8500994398507965e-06,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,target_zero,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,0.8040022215088104,0.4682598794265666,0.9304229612771199,0.052906367737358025,0.20558513423299804,0.04069754494799478,19.755546004468975,0.38966439757024474,247331.1688915554,30,1905,182880
iTransformer_CRR_FT03,target_shift_plus_delta,0.30202373327754195,0.14652680241008234,0.39705038497791945,0.3138245175611187,4.99999995728073,0.0009243296981491248,5.000000042719269,0.23809606044117532,1.0910894605020707,0.23809523809523808,20.999999820490867,0.38966439757024474,247331.1688915554,30,1905,182880
